Tidsstempel,Group A,Group B,Group C,Group D,Group E,Name
26/07/2025 17.02.51,Lanfe4r,hungrybrowny,qjY,Cvaekt,canin,Moggles
26/07/2025 17.14.17,reload,YaBoiTheJebait,ri,jihapse,Wiolarz,Wiolarz
26/07/2025 17.35.08,Lewis,hungrybrowny,ri,Unseelie,Faith,Cvaekt
26/07/2025 17.36.40,Lewis,YaBoiTheJebait,Disturbed Jawker,AA,HyPeR,My2Karma
26/07/2025 23.47.01,reload,hungrybrowny,Rasmus_=,Aty,Epona,Jeri
27/07/2025 01.04.48,Jam Apple YNWA,Reddydas,ri,Jeri,Eeshie,Epona
27/07/2025 03.56.08,Lewis,hungrybrowny,Aaz3,jihapse,Rimuru,Dasher178
27/07/2025 15.38.37,reload,YaBoiTheJebait,qjY,Cvaekt,Faith,Catnip
27/07/2025 18.26.59,reload,Phantom,ri,calli,Hynips,Drregron
27/07/2025 18.27.18,Lewis,Owl,Aaz3,Jeri,Faith,Owl
27/07/2025 18.32.12,Performance,Jibbo,ri,Unseelie,canin,Sparto
27/07/2025 18.32.44,Toneeh/Tony,hungrybrowny,qjY,Cvaekt,Rimuru,canin
27/07/2025 18.33.33,Lanfe4r,Owl,ri,jihapse,Faith,Click
27/07/2025 18.40.08,Karma/My2Karma,hungrybrowny,mouceen,Nappa,Epona,Ernie 
27/07/2025 18.51.58,Potentiallyyouruncle,Catnip,Aaz3,Dasher,Faith,hammurabi
