,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
150522382,0.0,0.0,3.15,0.20400000000000001,0.642,0.0,0.0,4.0,1.5,1.0,0.0,1.9801328500000002,12.47613285
110881046,1.5,0.30000000000000027,1.7999999999999998,1.536,1.23,3.0,0.0,1.0,0.5,2.75,0.0,0.8700049500000001,14.48600495
854684906,1.2,0.0,2.25,1.629,1.232,1.0,1.0,0.0,1.0,0.5,0.0,0.07001220500000001,9.881012205
465095630,1.5,0.0,3.3,0.105,0.736,0.0,0.0,8.0,1.0,2.0,4.0,1.6066845,22.2476845
416118852,4.8,1.5,0.8999999999999999,1.86,1.616,3.0,0.0,0.0,0.5,0.75,0.0,1.9332777,16.8592777
127524729,6.6,2.1,2.25,1.6620000000000001,1.566,2.0,1.0,0.0,0.0,0.75,0.0,2.6732918000000003,20.601291800000002
149253098,3.3,2.1,2.1,0.9540000000000001,1.12,5.0,1.0,0.5,0.0,4.25,0.0,0.0,20.324
127714243,3.3,0.0,2.85,1.071,1.1520000000000001,1.0,0.0,0.0,4.0,1.0,0.0,4.3549845,18.7279845
111886427,1.2,0.6000000000000001,4.2,0.20400000000000001,0.6960000000000001,0.0,0.0,12.5,0.0,0.5,0.0,0.76000855,20.660008549999997
127038234,1.5,0.6000000000000001,4.8,0.654,0.866,0.0,0.0,0.5,0.5,0.5,0.0,4.2599385,14.179938499999999
