,name,timestamp,pick_1,pts_1,pick_2,pts_2,pick_3,pts_3,pick_4,pts_4,pick_5,pts_5,total
0,Bert,02/08/2025 16.40.56,Toneeh/Tony,36.761,Catnip,28.205,prime skiter,29.317,AA,31.529,Muko,39.169,164.981
1,canin,03/08/2025 17.33.47,Ragicarpe,37.406,Phantom,35.532,ri,38.034,Leiya,42.991,Tefrick,31.697,185.66
2,Catnip,02/08/2025 16.32.01,Lewis,21.665,Reddydas,38.869,play,0.0,Leiya,42.991,Muko,39.169,142.694
3,Click,03/08/2025 18.32.25,reload,43.621,hungrybrowny,17.257,ri,38.034,jihapse,24.698,canin,17.846,141.456
4,Cvaekt,26/07/2025 17.35.08,Lewis,21.665,hungrybrowny,17.257,ri,38.034,Unseelie,31.101,Faith,34.32,142.377
5,Dasher,02/08/2025 09.38.28,Lewis,21.665,Luke,20.922,Aaz3,18.318,pk,24.048,Rimuru,55.608,140.561
6,Drregron,27/07/2025 18.26.59,reload,43.621,Phantom,35.532,ri,38.034,calli,0.0,Hynips,34.968,152.155
7,Epona,31/07/2025 20.50.06,reload,43.621,Reddydas,38.869,mouceen,19.583,jihapse,24.698,Tilty,46.895,173.666
8,Ernie,03/08/2025 18.07.48,Karma/My2Karma,32.025,hungrybrowny,17.257,mouceen,19.583,Nappa,33.72,Epona,44.494,147.079
9,hammurabi,27/07/2025 18.51.58,Potentiallyyouruncle,24.912,Catnip,28.205,Aaz3,18.318,Dasher,31.756,Faith,34.32,137.511
10,Jeri,02/08/2025 12.20.02,reload,43.621,Phantom,35.532,Disturbed Jawker,0.0,Aty,24.062,Hynips,34.968,138.183
11,Karma/My2Karma,26/07/2025 17.36.40,Lewis,21.665,YaBoiTheJebait,25.741,Disturbed Jawker,0.0,AA,31.529,HyPeR,23.507,102.442
12,Moggles,26/07/2025 17.02.51,Lanfe4r,30.863,hungrybrowny,17.257,qjY,0.0,Cvaekt,0.0,canin,17.846,65.966
13,Owl,03/08/2025 18.08.58,Lewis,21.665,hungrybrowny,17.257,Aaz3,18.318,Jeri,21.644,Epona,44.494,123.378
14,Sparto,31/07/2025 20.22.21,Performance,39.332,Lightning,34.882,backwardshello,30.645,Unseelie,31.101,Rimuru,55.608,191.568
15,Wiolarz,31/07/2025 20.22.56,Toneeh/Tony,36.761,Catnip,28.205,ri,38.034,jihapse,24.698,canin,17.846,145.544
