account_id,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
50964,0.3,0.9,7.65,0.162,1.194,1.0,0.0,3.0,1.5,1.5,0.0,6.955,24.161
238228,3.0,1.8,5.25,0.504,1.326,0.0,0.0,9.0,4.0,0.25,0.0,1.042,26.172
5668067,5.1,1.5,3.9,2.772,2.352,5.0,1.0,0.0,1.5,2.5,4.0,1.745,31.369
26793089,6.0,-1.8,6.45,0.801,1.61,1.0,0.0,14.5,2.5,3.5,0.0,4.193,38.754
60329701,0.6,2.1,4.65,0.39,1.192,2.0,0.0,9.5,0.0,1.0,0.0,4.302,25.734
65159250,10.5,3.9,4.2,1.899,2.944,7.0,1.0,0.0,0.0,1.5,4.0,0.77,37.713
71551920,3.9,2.1,4.35,1.302,1.896,2.0,0.0,1.0,1.0,3.75,0.0,0.38,21.678
78114459,3.6,1.8,3.9,2.244,2.4,3.0,1.0,0.0,1.0,0.75,0.0,2.958,22.652
79190405,2.1,-0.9,8.85,0.639,1.53,0.0,0.0,13.5,2.0,3.0,0.0,6.071,36.79
80749349,1.5,0.9,7.2,0.534,1.458,0.0,0.0,5.0,4.0,1.75,0.0,6.008,28.35
86546993,2.1,1.5,5.85,2.661,2.304,1.0,0.0,0.0,1.5,1.5,0.0,4.678,23.093
86776312,1.5,0.0,6.15,0.429,1.124,0.0,0.0,13.0,1.5,1.25,0.0,0.0,24.953
89873399,2.7,-1.5,5.7,0.306,1.238,1.0,0.0,7.0,1.5,1.75,4.0,5.257,28.951
93627869,8.1,3.3,2.25,1.62,2.294,5.0,0.0,0.0,0.0,1.25,0.0,2.865,26.679
94550441,6.6,2.7,3.15,2.493,2.168,0.0,0.0,2.0,0.0,6.25,0.0,0.103,25.464
95578104,1.8,1.8,3.9,0.975,1.102,1.0,0.0,0.0,0.0,0.75,0.0,0.073,11.4
95706137,3.3,0.0,6.15,0.222,1.444,1.0,0.0,12.0,0.5,1.5,0.0,5.588,31.704
102879403,6.0,0.9,6.9,2.571,2.698,7.0,2.0,0.0,0.5,2.0,0.0,6.775,37.344
105461157,5.7,1.2,9.6,0.57,1.85,1.0,0.0,8.5,3.0,1.0,0.0,8.24,40.66
110881046,6.6,3.0,7.35,2.538,2.726,5.0,2.0,1.0,0.5,9.25,0.0,12.392,52.356
111886427,3.0,0.9,7.5,0.309,1.246,2.0,1.0,16.0,0.0,0.75,0.0,3.073,35.778
113312766,6.0,4.8,6.6,1.608,2.564,0.0,0.0,2.0,1.0,7.25,0.0,1.832,33.654
116643277,1.8,-1.2,4.5,0.555,1.332,1.0,0.0,4.0,1.5,0.75,0.0,3.627,17.864
121439102,3.6,-1.2,4.95,1.389,1.83,1.0,0.0,0.0,0.5,0.5,4.0,3.092,19.661
121600140,4.8,2.7,6.75,1.908,2.302,0.0,0.0,2.0,1.5,5.0,4.0,3.567,34.527
125155223,4.5,1.5,3.15,0.69,1.37,1.0,0.0,6.0,2.5,2.25,0.0,4.243,27.203
126607959,7.5,3.6,6.45,2.58,3.196,9.0,3.0,0.0,4.0,0.75,0.0,3.737,43.813
