account_id,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total,name
50964,1.5,0.0,6.75,0.231,1.242,0.0,0.0,4.5,1.5,3.0,0.0,9.123,27.846,Lewis
26793089,3.9,0.0,6.45,0.627,1.356,2.0,0.0,12.5,3.0,1.0,8.0,0.0,38.833,Hynips
78114459,2.4,0.9,2.4,0.855,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.105,9.41,canin
79190405,2.1,0.0,8.85,0.639,1.53,0.0,0.0,13.5,2.0,3.0,0.0,6.071,37.69,
86546993,3.3,1.2,7.65,1.938,2.2,1.0,0.0,0.0,0.5,0.5,4.0,5.017,27.305,un Bastien
89873399,3.0,0.9,6.45,0.678,1.544,1.0,0.0,6.5,3.0,2.0,4.0,8.011,37.083,hungrybrowny
95706137,3.0,0.9,7.35,0.264,1.456,0.0,0.0,14.0,2.5,1.5,0.0,7.682,38.652,Ragicarpe
102879403,10.5,1.5,6.3,2.268,2.818,5.0,2.0,0.0,1.0,1.5,0.0,5.813,38.699,Wiolarz
111886427,2.7,0.9,8.7,0.606,1.406,1.0,0.0,22.5,0.5,2.25,0.0,0.125,40.687,Nappa
121600140,4.8,2.7,6.75,1.908,2.302,0.0,0.0,2.0,1.5,5.0,4.0,3.567,34.527,
127038234,4.2,1.2,5.85,0.816,1.478,0.0,0.0,3.5,7.0,0.5,0.0,7.951,32.495,Magma
127524729,6.6,0.9,5.7,2.805,2.57,4.0,1.0,0.0,0.0,2.75,0.0,1.487,27.812,Aaz3
127714243,8.7,0.0,4.95,2.049,2.248,2.0,0.0,0.0,7.0,2.5,0.0,5.562,35.009,Tsenme
146542636,9.3,4.8,3.6,3.426,3.652,12.0,0.0,0.0,5.0,1.0,0.0,2.745,45.523,Reddydas
149253098,6.9,3.3,5.7,2.127,2.218,4.0,2.0,2.0,0.0,4.5,0.0,1.167,33.912,Jeri
169606098,3.9,1.2,6.3,0.738,1.666,0.0,0.0,6.5,14.0,2.0,0.0,7.317,43.621,reload
178007846,9.3,3.6,3.15,2.049,2.58,9.0,0.0,1.0,0.5,9.75,0.0,3.178,44.107,Phantom
183938343,6.9,4.2,5.55,1.995,2.678,1.0,1.0,1.5,0.5,6.25,0.0,3.212,34.785,backwardshello
196936346,7.2,1.8,3.75,1.605,2.176,1.0,0.0,2.0,0.5,4.25,0.0,2.268,26.549,YaBoiTheJebait
243368997,2.4,2.1,7.05,0.585,1.558,3.0,0.0,16.0,3.5,1.25,0.0,0.5,37.943,Kot
311078326,4.2,2.1,4.8,1.968,2.04,1.0,1.0,0.0,2.0,2.0,0.0,2.85,23.958,Exy-
324942638,10.2,3.9,4.05,4.167,3.376,14.0,2.0,0.5,1.5,3.25,4.0,1.958,52.901,mouceen
347405447,4.5,0.9,6.3,1.335,1.77,0.0,0.0,0.0,1.5,2.25,0.0,4.952,23.507,HyPeR
