,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8302308469,1747856106,9766766,9767722,"1290857335, 78114459, 210771942, 102879403, 86776312",Wiolarz,"26793089, 126607959, 33657430, 1392360555, 241158366",Hynips,"Hynips, Wiolarz"
1,8302276101,1747854270,9773389,9767692,"172386727, 443805795, 15799146, 117740659, 69119093",YellowPhysicist,"350169818, 1536452978, 256487232, 317992803, 120433963",ClepTiq,"ClepTiq, YellowPhysicist"
2,8302215063,1747850897,9766766,9767722,"1290857335, 78114459, 210771942, 102879403, 86776312",Wiolarz,"26793089, 126607959, 33657430, 241158366, 1392360555",Hynips,"Hynips, Wiolarz"
3,8302209843,1747850659,9773389,9767692,"69119093, 443805795, 15799146, 117740659, 172386727",YellowPhysicist,"350169818, 120433963, 317992803, 256487232, 1536452978",ClepTiq,"ClepTiq, YellowPhysicist"
4,8298781867,1747600142,9773389,9767322,"172386727, 443805795, 15799146, 117740659, 108777244",YellowPhysicist,"71551920, 94550441, 135738807, 23765698, 95578104",bernardhumperdink,"YellowPhysicist, bernardhumperdink"
5,8298762749,1747599007,9766766,9767692,"78114459, 1290857335, 210771942, 102879403, 86776312",Wiolarz,"350169818, 120433963, 1536452978, 256487232, 317992803",ClepTiq,"ClepTiq, Wiolarz"
6,8298700469,1747595612,9767692,9766766,"120433963, 350169818, 256487232, 1536452978, 317992803",ClepTiq,"78114459, 1290857335, 210771942, 102879403, 86776312",Wiolarz,"ClepTiq, Wiolarz"
7,8298679560,1747594568,9773389,9767322,"108777244, 443805795, 15799146, 117740659, 172386727",YellowPhysicist,"71551920, 94550441, 23765698, 95578104, 135738807",bernardhumperdink,"YellowPhysicist, bernardhumperdink"
8,8298616954,1747591505,9767322,9773389,"71551920, 94550441, 23765698, 95578104, 135738807",bernardhumperdink,"443805795, 108777244, 15799146, 117740659, 172386727",YellowPhysicist,"YellowPhysicist, bernardhumperdink"
9,8298612309,1747591308,9766766,9767692,"78114459, 1290857335, 210771942, 102879403, 86776312",Wiolarz,"350169818, 317992803, 120433963, 256487232, 1536452978",ClepTiq,"ClepTiq, Wiolarz"
