,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,7559268816,1706473475,9322612,9322733,"45706815, 92754909, 94550441, 1240080323, 120894524",Supersaian,"139093519, 48903560, 150522382, 339287767, 28888813",Kanto/Farro/Tom/Cursed One,"Kanto/Farro/Tom/Cursed One, Supersaian"
1,7559267889,1706473399,9322742,9322646,"73573464, 61634693, 69119093, 220204181, 135984503",hfbvm,"309170103, 251347639, 256487232, 96187261, 377737761",Epona,"Epona, hfbvm"
2,7559267110,1706473407,9316113,9322731,"78114459, 16570127, 402532929, 433060499, 50964",canin,"159179884, 72407726, 109525057, 79490121, 167445998",owley,"canin, owley"
3,7559266012,1706473308,9316641,9316589,"73877347, 111041999, 364035017, 135738807, 83500633",greenman,"39418347, 200263405, 201225238, 1061292669, 160115611",Cristina,"Cristina, greenman"
4,7559177350,1706469034,9322742,9322646,"73573464, 61634693, 69119093, 220204181, 135984503",hfbvm,"309170103, 251347639, 256487232, 96187261, 377737761",Epona,"Epona, hfbvm"
5,7559171360,1706468773,9322733,9322612,"139093519, 150522382, 339287767, 48903560, 28888813",Kanto/Farro/Tom/Cursed One,"1240080323, 94550441, 92754909, 45706815, 120894524",Supersaian,"Kanto/Farro/Tom/Cursed One, Supersaian"
6,7559170069,1706468691,9322731,9316113,"167445998, 72407726, 159179884, 109525057, 79490121",owley,"16570127, 402532929, 78114459, 433060499, 50964",canin,"canin, owley"
7,7559168954,1706468645,9316589,9316641,"39418347, 200263405, 1061292669, 201225238, 160115611",Cristina,"111041999, 73877347, 364035017, 83500633, 135738807",greenman,"Cristina, greenman"
8,7548825066,1705869918,9322733,9316641,"150522382, 139093519, 339287767, 48903560, 28888813",Kanto/Farro/Tom/Cursed One,"73877347, 111041999, 364035017, 83500633, 135738807",greenman,"Kanto/Farro/Tom/Cursed One, greenman"
9,7548805080,1705868766,9316589,9322646,"95583731, 201225238, 200263405, 1061292669, 160115611",Cristina,"256487232, 96187261, 309170103, 377737761, 251347639",Epona,"Cristina, Epona"
10,7548802560,1705868648,9322742,9322731,"61634693, 73573464, 69119093, 220204181, 135984503",hfbvm,"159179884, 72407726, 167445998, 109525057, 79490121",owley,"hfbvm, owley"
11,7548796641,1705868324,9322612,9316113,"92754909, 45706815, 1240080323, 120894524, 94550441",Supersaian,"41403942, 433060499, 16570127, 50964, 78114459",canin,"Supersaian, canin"
12,7548728709,1705864973,9322731,9322742,"72407726, 159179884, 167445998, 109525057, 79490121",owley,"61634693, 69119093, 220204181, 93836332, 135984503",hfbvm,"hfbvm, owley"
13,7548707964,1705864060,9322646,9316589,"256487232, 96187261, 309170103, 251347639, 377737761",Epona,"95583731, 1061292669, 201225238, 200263405, 160115611",Cristina,"Cristina, Epona"
14,7548703406,1705863843,9316641,9322733,"73877347, 111041999, 364035017, 83500633, 135738807",greenman,"139093519, 150522382, 339287767, 48903560, 28888813",Kanto/Farro/Tom/Cursed One,"Kanto/Farro/Tom/Cursed One, greenman"
15,7548698219,1705863644,9322612,9316113,"45706815, 1240080323, 120894524, 94550441, 92754909",Supersaian,"78114459, 41403942, 433060499, 16570127, 50964",canin,"Supersaian, canin"
