,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,7897080101,1723664323,9505382,9499060,"121439102, 146542636, 59284760, 48903560, 320078715",hfbvm,"40096638, 287978960, 350169818, 135738807, 132180151",GladeFrede,"GladeFrede, hfbvm"
1,7897071167,1723663937,9498955,9499058,"150522382, 265444200, 167275877, 127733940, 91974124",Tora,"93755522, 169606098, 52672020, 125847008, 88342733",Saiprien,"Saiprien, Tora"
2,7897067875,1723663888,9498921,9499057,"160138578, 207300381, 243172458, 317992803, 366643158",Alek,"16570127, 118694488, 123181828, 104880759, 184601350",Kimaliki,"Alek, Kimaliki"
3,7897046649,1723662544,9499062,9499063,"252657179, 235385167, 328654348, 27997450, 160652614",erie,"1102469941, 80749349, 141850821, 86719611, 80985743",Bot Linda,"Bot Linda, erie"
4,7897040305,1723662229,9498806,9499044,"179070642, 46905237, 256487232, 23765698, 84712191",Xiniu,"130098742, 63351306, 433060499, 59881483, 82004048",The Queen,"The Queen, Xiniu"
5,7896999915,1723660484,9498921,9499057,"160138578, 317992803, 366643158, 207300381, 122725609",Alek,"16570127, 123181828, 118694488, 104880759, 184601350",Kimaliki,"Alek, Kimaliki"
6,7896968545,1723659121,9499058,9498955,"93755522, 52672020, 125847008, 169606098, 88342733",Saiprien,"265444200, 150522382, 167275877, 127733940, 91974124",Tora,"Saiprien, Tora"
7,7896958425,1723658673,9499063,9499062,"1102469941, 86719611, 141850821, 80749349, 80985743",Bot Linda,"27997450, 235385167, 328654348, 252657179, 160652614",erie,"Bot Linda, erie"
8,7896957290,1723658614,9499044,9498806,"130098742, 59881483, 63351306, 433060499, 82004048",The Queen,"179070642, 256487232, 46905237, 84712191, 23765698",Xiniu,"The Queen, Xiniu"
9,7896956447,1723658585,9499056,9498977,"56404086, 349518239, 177572049, 89873399, 345032134",Kakashi,"95578104, 103457852, 47771811, 161284532, 72546781",G14,"G14, Kakashi"
10,7896954752,1723658545,9505382,9499060,"121439102, 146542636, 59284760, 48903560, 320078715",hfbvm,"40096638, 350169818, 132180151, 188263974, 287978960",GladeFrede,"GladeFrede, hfbvm"
11,7896876896,1723655182,9499056,9498977,"56404086, 89873399, 349518239, 177572049, 345032134",Kakashi,"95578104, 103457852, 72546781, 161284532, 47771811",G14,"G14, Kakashi"
